"Slot","Format","Topic","Asset"
"Week 1 - Monday","Carousel","Before your startup hires HR, build these 5 systems","carousels/01-startup-hr-systems/01-startup-hr-systems.pdf"
"Week 1 - Tuesday","Poster","If payroll is wrong, the culture deck is decoration.","posters/png/01-payroll-trust.png"
"Week 1 - Wednesday","Text","The first HR system I build is not culture",""
"Week 1 - Thursday","Carousel","A 10-minute people audit for founders","carousels/02-founder-people-audit/02-founder-people-audit.pdf"
"Week 1 - Friday","Poster","A policy earns its place when it prevents the same argument twice.","posters/png/02-policy-purpose.png"
"Week 2 - Monday","Carousel","AI cut our time-to-hire by 30%. Here is where I did not let it decide.","carousels/03-ai-hiring-judgment/03-ai-hiring-judgment.pdf"
"Week 2 - Tuesday","Text","My CPA background changed how I think about people decisions",""
"Week 2 - Wednesday","Poster","The cheapest retention strategy is clarity.","posters/png/03-retention-clarity.png"
"Week 2 - Thursday","Carousel","Before you buy an HRIS, open a spreadsheet","carousels/04-before-hris-spreadsheet/04-before-hris-spreadsheet.pdf"
"Week 2 - Friday","Text","What I prioritize when HR has no team and no budget",""
"Week 3 - Monday","Poster","AI should remove admin from hiring. It should not remove accountability.","posters/png/04-ai-accountability.png"
"Week 3 - Tuesday","Carousel","Your onboarding is not complete when the laptop arrives","carousels/05-first-30-days/05-first-30-days.pdf"
"Week 3 - Wednesday","Text","Loyalty is usually the wrong retention question",""
"Week 3 - Thursday","Text","The first question before building a people dashboard",""
"Week 3 - Friday","Poster","A startup becomes a company when decisions stop living only in the founder's head.","posters/png/05-company-memory.png"
"Week 4 - Monday","Text","International hiring is not only recruitment",""
"Week 4 - Tuesday","Text","The test I use before writing a new HR policy",""
"Week 4 - Wednesday","Carousel","6 uncomfortable truths about startup HR in Pakistan","carousels/06-pakistan-startup-hr-truths/06-pakistan-startup-hr-truths.pdf"
"Week 4 - Thursday","Text","What I need from a founder before HR can work",""
"Week 4 - Friday","Poster","Hiring faster is useless when nobody agrees what good looks like.","posters/png/06-role-clarity.png"
